date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:26:55	3226/3226	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202022%2005:26:54%20GMT	https://www.draffle.io/	C:/Mis%20lugares%20Web/xccxxxx/www.draffle.io/index.html	(from )
02:26:55	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2022%20Sep%202022%2005:26:53%20GMT	https://www.draffle.io/robots.txt		(from )
02:26:55	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2022%20Sep%202022%2005:26:56%20GMT	https://www.draffle.io/favicon.ico	C:/Mis%20lugares%20Web/xccxxxx/www.draffle.io/favicon.ico	(from https://www.draffle.io/)
02:26:57	1290/1290	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-50a%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.css	C:/Mis%20lugares%20Web/xccxxxx/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.min.css	(from https://www.draffle.io/)
02:26:57	2349/2349	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-92d%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css	C:/Mis%20lugares%20Web/xccxxxx/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css	(from https://www.draffle.io/)
02:26:57	3226/3226	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202022%2005:26:58%20GMT	https://www.draffle.io/logo192.png	C:/Mis%20lugares%20Web/xccxxxx/www.draffle.io/index-2.html	(from https://www.draffle.io/)
02:26:57	184/184	---M--	200	added ('OK')	application/json	date:Thu,%2022%20Sep%202022%2005:26:58%20GMT	https://www.draffle.io/manifest.json	C:/Mis%20lugares%20Web/xccxxxx/www.draffle.io/manifest.json	(from https://www.draffle.io/)
02:26:58	1358/1358	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2005:26:59%20GMT	https://www.draffle.io/static/css/main.1883a854.chunk.css	C:/Mis%20lugares%20Web/xccxxxx/www.draffle.io/static/css/main.1883a854.chunk.css	(from https://www.draffle.io/)
02:26:58	153751/153751	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Sep%202022%2005:26:59%20GMT	https://www.draffle.io/static/js/main.b0ff83a3.chunk.js	C:/Mis%20lugares%20Web/xccxxxx/www.draffle.io/static/js/main.b0ff83a3.chunk.js	(from https://www.draffle.io/)
02:26:59	4178/4178	---M-Z	200	added ('OK')	image/gif	etag:%225eb03fd5-1052%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/ajax-loader.gif	C:/Mis%20lugares%20Web/xccxxxx/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/ajax-loader.gif	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick-theme.min.css)
